iter	Passed	Remaining
406	6183	39396
407	6198	39375
408	6214	39367
409	6229	39353
410	6245	39342
411	6263	39345
412	6285	39371
413	6300	39356
414	6314	39329
415	6328	39306
416	6341	39279
417	6355	39258
418	6369	39235
419	6383	39213
420	6400	39206
421	6416	39200
422	6430	39175
423	6443	39150
424	6458	39132
425	6472	39106
426	6489	39103
427	6505	39091
428	6520	39076
429	6534	39057
430	6548	39033
431	6564	39019
432	6576	38989
433	6591	38969
434	6604	38946
435	6619	38929
436	6632	38901
437	6646	38879
438	6661	38861
439	6675	38836
440	6688	38810
441	6705	38808
442	6719	38783
443	6735	38772
444	6748	38746
445	6763	38729
446	6777	38707
447	6791	38686
448	6806	38670
449	6820	38650
450	6833	38624
451	6847	38600
452	6860	38575
453	6875	38558
454	6891	38548
455	6908	38540
456	6922	38517
457	6935	38494
458	6952	38485
459	6965	38460
460	6979	38441
461	6994	38426
462	7009	38410
463	7025	38399
464	7041	38386
465	7055	38367
466	7070	38347
467	7084	38330
468	7098	38307
469	7113	38293
470	7128	38276
471	7142	38253
472	7155	38227
473	7168	38199
474	7182	38179
475	7197	38165
476	7211	38145
477	7224	38118
478	7240	38106
479	7253	38080
480	7268	38064
481	7280	38033
482	7295	38016
483	7308	37989
484	7324	37979
485	7338	37960
486	7354	37949
487	7370	37937
488	7384	37916
489	7397	37895
490	7412	37876
491	7425	37851
492	7439	37832
493	7456	37824
494	7470	37804
495	7485	37791
496	7498	37766
497	7512	37741
498	7521	37698
499	7535	37679
500	7550	37662
501	7626	37952
502	7651	37985
503	7668	37977
504	7682	37953
505	7696	37936
506	7711	37917
507	7725	37898
508	7739	37874
509	7753	37854
510	7768	37838
511	7784	37829
512	7798	37807
513	7812	37787
514	7828	37774
515	7842	37755
516	7859	37746
517	7873	37726
518	7890	37717
519	7904	37700
520	7920	37687
521	7935	37671
522	7950	37656
523	7967	37645
524	7983	37637
525	7999	37625
526	8017	37621
527	8034	37616
528	8051	37608
529	8067	37596
530	8085	37593
531	8102	37588
532	8122	37593
533	8139	37588
534	8155	37575
535	8173	37573
536	8193	37579
537	8211	37575
538	8229	37575
539	8244	37559
540	8261	37552
541	8278	37544
542	8294	37529
543	8312	37526
544	8327	37512
545	8343	37497
546	8358	37481
547	8372	37463
548	8389	37455
549	8408	37457
550	8428	37463
551	8444	37450
552	8461	37441
553	8478	37433
554	8494	37420
555	8508	37400
556	8524	37388
557	8538	37366
558	8552	37347
